Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2011-10-19,6.114800259442968e-35,1.0,2.0097456365466854e-51,5.232905535851279e-95
2011-10-20,1.2472794550284655e-31,1.0,7.010255682683703e-49,3.318450897931428e-88
2011-10-21,1.2870367464215896e-31,1.0,1.3418322226947633e-48,6.9474463881408995e-87
2011-10-24,1.4685262736714987e-35,1.0,4.665997577893431e-53,9.742769002355932e-93
2011-10-25,2.0943274763699988e-35,1.0,1.632312285584895e-52,9.395059445560073e-97
2011-10-26,1.5689413330261082e-30,1.0,8.96562666177471e-50,5.381285065174496e-88
2011-10-27,3.6375948277208207e-41,1.0,5.0891952929766145e-57,2.1551409377324785e-99
2011-10-28,8.423237136416067e-34,1.0,2.790840317882326e-53,2.735018348455279e-99
2011-10-31,4.6126241531218815e-28,1.0,9.502663615992718e-43,7.320019276632053e-76
2011-11-01,5.238265398277282e-33,1.0,4.639048094592981e-35,1.5461795364013622e-68
2011-11-02,1.1442047790419849e-25,1.0,2.104669521328736e-41,3.6353450040057734e-72
2011-11-03,9.788184012808598e-26,1.0,5.970073478617434e-36,4.4991964519696313e-66
2011-11-04,3.716597432227184e-24,1.0,1.506444432904813e-32,4.812923501034206e-61
2011-11-07,7.948555114394826e-22,1.0,5.273392604366039e-28,3.0514119054863623e-53
2011-11-08,1.2731501323266662e-21,1.0,8.720872996089634e-27,1.0582020681300053e-51
2011-11-09,1.1421218576852767e-34,1.0,3.207900469517203e-30,9.040907847548151e-66
2011-11-10,1.5798592927151512e-28,1.0,5.19799498636149e-43,1.1605552946001134e-76
2011-11-11,1.1576173070442846e-26,1.0,1.8939667082004747e-39,1.5601656570953897e-71
2011-11-14,2.735208233314451e-26,1.0,6.769395771721186e-34,1.0771857252433635e-64
2011-11-15,8.39831255627673e-24,1.0,2.4311567605367274e-33,1.2501303323924173e-61
2011-11-16,1.2132140734394197e-25,1.0,2.5227764936676109e-29,1.3239260881000393e-58
